,Sig.,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups
,,Group A,Group A,Group A,Group A,Group A,Group A,Group B,Group B,Group B,Group B,Group B,Group B,Group C,Group C,Group C,Group C,Group C,Group C
,,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean
Feature,,,,,,,,,,,,,,,,,,,
CentroidXPx,0.8860347038921176,367.0,999.4853032046321,108.31305820398795,5.653895615725171,1010.55183071703,988.4187756922342,400.0,1002.515620569,72.57033741302617,3.6285168706513082,1009.618618206021,995.4126229319791,76.0,999.0669795473684,94.04144499228487,10.78729355857655,1020.0705150117047,978.0634440830326
CentroidYPx,0.76755544825217,367.0,999.1784645457765,110.25136929343523,5.7550746310004826,1010.443032565521,987.9138965260324,400.0,1002.1123549565001,65.95004583720875,3.297502291860436,1008.5673755123096,995.6573344006906,76.0,1006.8828219105263,90.5005939674049,10.381130090376965,1027.095531690707,986.6701121303457
Nucleus_Area,1.2408711031402979e-28,367.0,603.7379197425068,67.4257691620282,3.519596500858961,610.6269240957114,596.8489153893021,400.0,566.08864670075,87.23850391537742,4.361925195768876,574.6273266801672,557.5499667213326,76.0,676.0437367657895,79.69023929151099,9.141097364691337,693.8420252465544,658.2454482850244
Nucleus_Perimeter,4.34615133951541e-45,367.0,98.11737315899182,6.602749258443407,0.3446607057640192,98.7919871671054,97.4427591508783,400.0,95.1404991155,7.537776042500681,0.3768888021250345,95.87827721226635,94.40272101873363,76.0,108.52961647157893,6.817592402515335,0.7820314821267104,110.05228069498989,107.00695224816803
Nucleus_Circularity,4.025722152541889e-60,367.0,0.7815587853651226,0.028942635730869276,0.0015107932873440692,0.784515903185522,0.7786016675447232,400.0,0.778792263,0.03048541328006875,0.001524270664003438,0.7817760967013584,0.7758084292986417,76.0,0.7123720719342105,0.0448523556039148,0.005144918038347758,0.7223895492460822,0.702354594622339
Nucleus_MaxCaliper,1.0342120007674635e-49,367.0,36.22342150275204,2.8877435427381206,0.15073898592057872,36.51846712231414,35.92837588318995,400.0,34.896835593625,3.0071987882275026,0.15035993941137515,35.19117246249283,34.60249872475717,76.0,40.87355737697368,3.3429310741912746,0.38346049283214834,41.62017894767975,40.126935806267625
Nucleus_MinCaliper,1.1406449986880918e-06,367.0,22.930448030681198,1.0237931885060578,0.05344156942741147,23.03505070440748,22.825845356954915,400.0,22.453184393125,1.5259045746266535,0.07629522873133275,22.60253600115469,22.30383278509531,76.0,23.064441711052634,2.03265242470113,0.2331612238582933,23.518421201610032,22.610462220495236
Nucleus_Eccentricity,3.6418974716223675e-30,367.0,0.7163261817329701,0.0375559568369621,0.0019604049892577506,0.7201633370721531,0.7124890263937872,400.0,0.711621563485,0.03770581394183509,0.0018852906970917554,0.7153121113986264,0.7079310155713737,76.0,0.7712628654078947,0.0566893978733397,0.006502719907896251,0.783924067910496,0.7586016629052934
Nucleus_HematoxylinODMean,3.851113736558632e-56,367.0,0.686611647160763,0.07185105018286055,0.0037505942898320554,0.6939527899262622,0.6792705043952637,400.0,0.6088045258075,0.04957366022337918,0.0024786830111689574,0.6136566679357787,0.6039523836792213,76.0,0.6861463929210526,0.09711015526797791,0.011139298768543672,0.7078353045523604,0.6644574812897448
Nucleus_HematoxylinODSum,8.445696449444883e-62,367.0,419.0680388746594,73.15538914040648,3.818680229198666,426.5424481474342,411.59362960188463,400.0,346.7689248675,60.305387924369015,3.015269396218448,352.6714608511557,340.8663888838443,76.0,475.5603830026316,92.99632083694512,10.667409596034995,496.330496891373,454.79026911389036
Nucleus_HematoxylinODStdDev,4.175295670444982e-158,367.0,0.2721165282425068,0.025932727832982862,0.0013536773739927272,0.2747661187055029,0.26946693777951064,400.0,0.3181814389275,0.023432513699090808,0.0011716256849545405,0.3204749529907849,0.31588792486421513,76.0,0.37146097089473684,0.03960780018780447,0.004543326273541866,0.38030711140201146,0.36261483038746223
Nucleus_HematoxylinODMax,1.849230907419761e-41,367.0,1.5814873172016348,0.1398738231386381,0.00730135413505614,1.5957784612030608,1.5671961732002089,400.0,1.7102584606350002,0.11200837358283904,0.005600418679141951,1.721221551633977,1.6992953696360233,76.0,1.7406312293026316,0.19514687482593882,0.0223848817503697,1.7842159945781675,1.6970464640270957
Nucleus_HematoxylinODMin,2.294293819886555e-131,367.0,0.10564042228065396,0.071732634484621,0.0037444130406991153,0.1129694663148996,0.09831137824640829,400.0,-0.0010945971400000002,0.05905580873657881,0.002952790436828941,0.004685633252493464,-0.006874827532493465,76.0,-0.10102624464473685,0.0647898103085337,0.0074319009396333745,-0.08655586853923848,-0.11549662075023522
Nucleus_HematoxylinODRange,5.808328506231138e-91,367.0,1.4758471798446868,0.16635065861148035,0.008683433696656664,1.4928435067027317,1.458850852986641,400.0,1.71135316268,0.1536086899791558,0.00768043449895779,1.7263879854580457,1.6963183399019544,76.0,1.841657453881579,0.21362338933474215,0.024504283318073302,1.8893688266095503,1.793946081153607
Nucleus_EosinODMean,2.6211473680202113e-19,367.0,0.01732093979564033,0.04213469992163832,0.002199413432757043,0.021625913024549415,0.013015966566731235,400.0,0.03659262435,0.03358721712676221,0.0016793608563381104,0.039880054619583924,0.03330519408041607,76.0,-0.006139311447368421,0.061865721084131825,0.007096484901973793,0.007677988647540711,-0.019956611542277552
Nucleus_EosinODSum,9.99805083781285e-16,367.0,11.975499180446867,26.88243268315596,1.4032515636395022,14.722122586906794,9.228875773986934,400.0,22.4151909390325,20.053047460487992,1.0026523730243997,24.37793155461282,20.452450323452176,76.0,-2.3049885323552637,42.00197077032223,4.817956474141679,7.075874157694285,-11.685851222404812
Nucleus_EosinODStdDev,1.430302480020808e-176,367.0,0.10552875071662125,0.015297233657843304,0.0007985090971018242,0.10709169483384191,0.10396580659940059,400.0,0.1341105537875,0.018977584177759438,0.0009488792088879724,0.1359680308280683,0.1322530767469317,76.0,0.19236862853947367,0.03417507073687873,0.003920149466589694,0.20000140481462678,0.18473585226432057
Nucleus_EosinODMax,2.616884984729772e-144,367.0,0.36156558944141687,0.056811490829645074,0.0029655356819452694,0.3673701151072195,0.35576106377561445,400.0,0.474437623305,0.06534613226173874,0.0032673066130869343,0.4808335343561215,0.46804171225387853,76.0,0.5938211687368421,0.10882900677920594,0.012483543228327934,0.6181274084338507,0.5695149290398335
Nucleus_EosinODMin,1.0835129446842325e-113,367.0,-0.3672956648038147,0.07724096194688025,0.004031945393725219,-0.35940382567893847,-0.37518750392869094,400.0,-0.47233216787750004,0.07659395268065278,0.003829697634032639,-0.4648353491455657,-0.4798289866094344,76.0,-0.6035887262368421,0.088999948518395,0.0102089942518949,-0.5837111757038451,-0.6234662767698391
Nucleus_EosinODRange,6.728609133994717e-167,367.0,0.7288613027111717,0.10847489612392859,0.005662343486380688,0.7399443654763199,0.7177782399460232,400.0,0.9467698372300001,0.12062000337419297,0.006031000168709647,0.9585758123637269,0.9349638620962732,76.0,1.1974093789342104,0.15742086924195853,0.018057412121842833,1.2325682900953623,1.1622504677730585
Smoothed_100Px_Nucleus_Area,8.924982876294056e-29,367.0,597.9423977877384,65.84450376115603,3.437055118817548,604.6698415927199,591.2149539827569,400.0,561.21882475725,85.12610944339178,4.256305472169588,569.5507490086683,552.8869005058317,76.0,668.8684622526316,77.45266885863195,8.884430433218338,686.1670041594815,651.5699203457817
Smoothed_100Px_Nucleus_Perimeter,2.952630562670288e-45,367.0,97.60916345133515,6.478737367305532,0.33818733773962273,98.27110695574491,96.94721994692539,400.0,94.7170038078,7.38814762876048,0.369407381438024,95.44013666097078,93.99387095462922,76.0,107.88053848776316,6.682310801022037,0.7665136181838262,109.37298845920391,106.38808851632241
Smoothed_100Px_Nucleus_Circularity,3.496708688769188e-60,367.0,0.7822160771226158,0.028746466485465215,0.0015005533360868475,0.785153152000942,0.7792790022442895,400.0,0.7791999985875,0.030305625275186945,0.0015152812637593464,0.7821662351021927,0.7762337620728073,76.0,0.7133690199342105,0.04438000485391218,0.005090735691369678,0.7232810008266035,0.7034570390418176
Smoothed_100Px_Nucleus_MaxCaliper,8.298965774513745e-50,367.0,36.02518987122616,2.8347243084279237,0.14797140441760803,36.31481842635567,35.735561316096636,400.0,34.739321245575,2.949089103999035,0.14745445519995223,35.02797048827935,34.45067200287065,76.0,40.61253940921053,3.276657269026,0.3758583660079551,41.3443591633637,39.88071965505737
Smoothed_100Px_Nucleus_MinCaliper,1.0188083158007446e-06,367.0,22.837716911444144,1.0061991589828458,0.052523168562052455,22.94052197355276,22.73491184933552,400.0,22.366910062625003,1.4993879716050627,0.07496939858025319,22.513666293875158,22.220153831374834,76.0,22.969129873026315,1.9900154988073668,0.228270433036342,23.413586687861606,22.524673058191024
